text,label
"Fridge: Не раджу нікому, обслуговування жахливе, товар бракований.",negative
"Телевізор: Відмінний товар, дуже задоволений покупкою! Рекомендую всім друзям.",positive
"Tv: Amazing TV picture quality, very satisfied with this purchase.",positive
"Найгірша покупка в моєму житті, шкодую що замовив.",negative
"Телевізор з неймовірною картинкою, дуже задоволений якістю зображення.",positive
Laptop: Stopped working after one month. Awful customer service experience.,negative
"Laptop: Не раджу нікому, обслуговування жахливе, товар бракований.",negative
"Ноутбук: Пречудова техніка, працює бездоганно вже кілька місяців.",positive
"Ноутбук: Great quality laptop, fast delivery, exactly as described.",positive
"Fridge: Найгірша покупка в моєму житті, шкодую що замовив.",negative
"Телевізор перестав вмикатись через місяць, жахливий сервіс.",negative
"Amazing TV picture quality, very satisfied with this purchase.",positive
"Absolutely horrible product, requested refund immediately.",negative
"Laptop: Холодильник працює тихо, економить електроенергію, відмінна покупка.",positive
"Телевізор: Купив ноутбук тиждень тому — повністю відповідає очікуванням, рекомендую!",positive
"Ноутбук: Телевізор нормальний, не вражає але і не розчаровує.",neutral
"Tv: Задоволений на всі 100%, буду купувати тут ще раз.",positive
"Телевізор нормальний, не вражає але і не розчаровує.",neutral
"Розчарований повністю, товар не відповідає опису на сайті.",negative
"Відмінний товар, дуже задоволений покупкою! Рекомендую всім друзям.",positive
"Холодильник: Middle range quality, some minor issues but generally acceptable.",neutral
"Laptop: Very disappointed, product does not match the description at all.",negative
Do not buy this! Stopped functioning within days of purchase.,negative
"Купив ноутбук тиждень тому — повністю відповідає очікуванням, рекомендую!",positive
"Great quality laptop, fast delivery, exactly as described.",positive
Do not buy this! Stopped functioning within days of purchase.,negative
"Непогано за свою ціну, є певні недоліки але загалом нормально.",neutral
"Laptop: За такі гроші прийнятна якість, але є кращі варіанти.",neutral
"Absolutely horrible product, requested refund immediately.",negative
"Fridge: Задоволений на всі 100%, буду купувати тут ще раз.",positive
"Fridge: Excellent product, works perfectly from day one. Highly recommend!",positive
"Жахлива якість, зламався через тиждень після покупки. Не рекомендую!",negative
"Excellent product, works perfectly from day one. Highly recommend!",positive
"Холодильник: Телевізор нормальний, не вражає але і не розчаровує.",neutral
"Great quality laptop, fast delivery, exactly as described.",positive
"Задоволений на всі 100%, буду купувати тут ще раз.",positive
"Fridge: Great quality laptop, fast delivery, exactly as described.",positive
"Laptop: Розчарований повністю, товар не відповідає опису на сайті.",negative
"Laptop: Відмінний товар, дуже задоволений покупкою! Рекомендую всім друзям.",positive
Laptop: Неймовірно швидкий ноутбук за такі гроші — просто знахідка!,positive
"Ноутбук: Нормальна техніка без особливих вражень, можна брати.",neutral
Tv: The fridge is quiet and energy efficient. Best purchase this year!,positive
"Холодильник: Пречудова техніка, працює бездоганно вже кілька місяців.",positive
"Laptop: Пречудова техніка, працює бездоганно вже кілька місяців.",positive
"Розчарований повністю, товар не відповідає опису на сайті.",negative
"Товар прийшов швидко, упакований добре, якість на висоті.",positive
"Холодильник: Excellent product, works perfectly from day one. Highly recommend!",positive
Do not buy this! Stopped functioning within days of purchase.,negative
"Average product for the price, nothing special but works fine.",neutral
"Laptop: Середня якість, нічого особливого, відповідає своїй вартості.",neutral
"Tv: Decent fridge, does the job, nothing to write home about.",neutral
Do not buy this! Stopped functioning within days of purchase.,negative
"Satisfactory performance overall, meets basic expectations.",neutral
"Laptop: Холодильник шумить вночі, не можна спати. Витрачені гроші.",negative
"Tv: Задоволений на всі 100%, буду купувати тут ще раз.",positive
